Ua(V),Ub(V),Uc(V), Ia(A), Ib(A),   Ic(A)
77.336,-70.647,-6.5587,75.759,-70.321,-5.5961
-76.541,8.3179,68.158,-71.013,2.848,67.947
26.923,-82.541,55.972,30.592,-84.092,53.632
17.435,-80.98,63.55,11.915,-80.429,68.443
9.773,68.776,-78.539,5.5324,68.957,-74.636
28.004,55.118,-83.713,24.569,57.276,-82.19
-78.859,66.675,12.091,-75.385,63.827,11.185
-78.742,17.961,60.719,-72.247,21.628,50.495
14.174,-79.723,65.431,14.395,-78.702,64.121
42.978,-85.318,42.018,38.328,-83.88,45.191
17.617,61.546,-79.554,25.002,51.485,-76.931
-75.843,6.9895,68.646,-74.688,10.886,63.829
-76.286,5.8513,70.44,-76.792,9.9458,66.647
68.776,-78.539,9.773,68.957,-74.636,5.5324
82.609,-38.429,-43.994,73.224,-37.279,-35.572
-80.078,17.162,62.968,-83.08,23.364,59.033
39.068,-85.342,45.995,42.089,-84.198,42.189
-74.418,69.866,4.1854,-74.205,65.985,8.133
-85.249,46.585,38.416,-84.26,43.308,41.126
-34.061,84.694,-50.78,-36.243,83.089,-46.425
-83.573,57.17,25.555,-84.452,62.523,21.297
80.979,-61.496,-18.769,76.287,-58.202,-17.805
80.712,-24.161,-56.361,72.306,-23.893,-48.136
-84.44,27.032,56.88,-81.836,23.131,58.347
-14.904,-65.184,80.542,-9.8011,-70.241,80.673
-78.085,67.6,10.493,-79.134,65.491,14.612
-23.373,-57.909,81.741,-30.192,-47.814,78.133
49.637,34.356,-84.487,50.662,31.137,-82.046
84.754,-31.027,-53.165,82.311,-33.356,-48.89
26.736,55.918,-82.649,30.552,51.788,-82.263
-51.676,82.688,-30.825,-49.843,72.713,-22.591
-59.768,-19.704,79.984,-57.69,-11.203,68.984
-78.793,12.651,65.438,-72.659,6.6769,65.89
-67.88,78.032,-10.449,-63.335,81.954,-18.164
-11.981,78.576,-66.908,-19.447,82.607,-62.76
-34.636,-49.643,84.342,-37.152,-45.844,83.153
45.344,-85.211,39.808,47.132,-83.464,36.085
53.012,28.308,-81.445,42.665,30.67,-73.49
-81.821,22.898,58.849,-78.423,24.208,54.146
14.889,-80.562,65.525,12.45,-77.269,64.449
47.741,37.083,-85.045,47.514,37.867,-85.557
-7.4267,-67.71,75.044,-11.777,-58.046,69.948
78.673,-10.755,-67.757,77.04,-11.326,-65.461
64.11,-81.701,17.194,66.398,-79.722,13.337
58.823,-80.948,21.721,55.498,-69.885,14.139
73.357,-75.009,1.4897,74.2,-71.952,-1.6478
84.604,-36.944,-47.632,82.947,-40.125,-42.68
81.452,-62.944,-18.76,81.169,-59.106,-21.864
15.876,64.577,-80.992,11.138,69.673,-81.443
82.232,-57.548,-24.643,82.251,-54.08,-28.043
47.85,36.664,-84.666,43.177,39.939,-83.258
-83.845,51.207,32.512,-79.372,47.089,32.372
-80.271,60.154,19.659,-73.675,55.092,18.513
-78.798,10.693,67.974,-78.408,11.077,67.237
82.106,-56.865,-24.478,75.353,-51.485,-23.703
-65.789,80.364,-14.566,-70.372,79.793,-9.0423
-46.795,-38.273,85.214,-52.713,-31.839,85.024
-46.315,85.015,-38.385,-44.307,81.455,-37.046
-83.704,31.591,52.163,-83.072,35.09,47.84
8.6724,-78.076,69.192,8.332,-78.048,69.363
-60.266,82.807,-22.318,-59.821,82.842,-22.509
27.801,54.715,-82.82,33.894,44.808,-78.956
-85.342,39.068,45.995,-84.198,42.089,42.189
12.971,-79.398,66.076,17.75,-80.002,61.869
3.1392,-75.814,72.705,3.0845,-75.517,73.138
40.098,-84.931,44.819,42.033,-83.557,41.244
-61.087,-20.634,82.298,-66.603,-15.592,82.913
74.788,-1.4299,-73.383,73.294,-0.40417,-73.063
-21.663,82.821,-60.758,-17.472,80.468,-62.637
13.281,-79.949,66.73,8.1132,-76.823,68.657
57.221,-84.284,26.598,58.627,-81.68,22.82
31.437,52.38,-83.877,31.359,48.26,-79.688
33.692,-84.921,50.946,33.431,-83.756,50.329
6.6417,70.75,-77.655,2.9535,71.714,-74.345
84.604,-36.944,-47.632,82.947,-40.125,-42.68
-79.828,17.946,61.325,-72.916,15.886,56.801
77.9,-70.06,-8.037,74.367,-71.392,-3.2018
80.24,-66.022,-14.255,79.514,-70.232,-8.9646
-1.2725,-73.295,74.729,1.9587,-74.356,71.765
-13.19,-63.603,76.98,-13.671,-56.681,70.25
79.388,-67.477,-11.719,78.193,-67.174,-10.912
-29.023,82.439,-53.137,-21.441,72.154,-50.806
-51.117,81.383,-30.111,-41.049,73.335,-32.193
-12.308,79.295,-66.83,-11.995,78.692,-65.91
35.544,49.471,-85.211,31.796,51.64,-83.712
-77.658,67.88,9.3353,-81.459,64.612,16.781
-84.468,50.478,33.461,-80.918,51.585,28.954
82.158,-25.425,-56.273,85.066,-31.619,-52.806
-83.184,30.073,52.766,-84.926,35.824,48.523
-57.94,-25.271,83.701,-57.951,-24.151,82.659
71.092,6.1451,-77.406,72.304,2.1763,-74.252
-73.218,69.516,3.7732,-67.029,63.098,3.7975
-26.226,-55.498,81.973,-18.396,-52.36,71.035
-67.757,78.673,-10.755,-65.461,77.04,-11.326
19.522,61.47,-81.053,23.411,57.841,-81.101
-35.897,-47.815,83.877,-35.41,-43.924,79.562
84.743,-36.447,-47.935,84.191,-30.127,-53.741
-78.606,9.6405,68.58,-77.268,4.0572,73.016
-5.6555,-68.643,74.484,-10.348,-58.543,69.078
-32.122,-52.473,85.093,-28.54,-54.648,83.452
24.456,57.735,-82.17,28.012,54.298,-82.22
59.966,18.898,-78.846,52.345,18.798,-71.294
58.069,23.562,-82.344,59.561,16.771,-76.519
69.334,-77.468,7.7577,66.097,-78.976,12.558
23.721,56.471,-80.775,15.096,54.494,-69.838
-2.378,74.133,-71.668,-6.1709,74.585,-68.39
-22.346,83.101,-60.324,-18.903,80.841,-61.704
-75.658,72.487,3.1703,-72.563,69.706,3.3338
59.122,22.503,-81.75,58.013,21.311,-79.16
83.655,-32.133,-51.524,79.245,-31.897,-47.5
38.237,45.639,-84.31,29.809,49.244,-79.367
-70.429,-6.6692,76.65,-74.492,0.10104,74.033
83.114,-59.821,-23.18,80.243,-61.509,-18.309
-78.702,66.357,12.289,-81.844,62.321,18.994
-0.18655,74.317,-74.333,3.5687,70.793,-74.219
75.714,-72.145,-3.3571,72.97,-72.202,-0.55961
-29.248,84.117,-54.037,-24.709,84.437,-59.375
33.018,-83.929,50.446,25.125,-78.45,53.01
32.41,-82.781,49.874,24.269,-72.496,47.916
84.319,-30.298,-53.167,84.227,-25.198,-58.769
56.816,-83.118,26.266,56.861,-83.165,26.335
-10.785,-66.585,77.488,-12.563,-63.64,75.891
-57.175,82.356,-25.139,-53.77,83.308,-29.566
23.432,58.322,-81.914,24.652,52.218,-76.99
-80.259,63.489,16.838,-80.522,59.653,20.7
68.052,7.0538,-75.044,60.719,11.311,-72.03
-39.207,85.089,-45.067,-33.554,84.646,-51.167
74.317,-0.18655,-74.333,70.793,3.5687,-74.219
19.303,61.67,-81.122,19.991,59.752,-79.793
33.001,48.973,-82.035,34.275,38.811,-73.241
63.671,-79.208,15.102,60.19,-68.425,8.0792
80.965,-16.968,-64.024,80.74,-11.286,-69.446
30.359,-81.414,50.837,30.825,-72.62,41.639
-79.736,63.018,16.407,-72.62,61.527,10.752
80.979,-18.769,-61.496,76.287,-17.805,-58.202
41.297,41.391,-82.999,32.348,41.173,-73.677
77.157,-10.037,-66.809,66.374,-3.2938,-63.049
46.681,-84.215,37.131,37.34,-79.621,41.743
73.973,-74.508,0.49734,73.25,-73.869,0.43683
-35.419,85.242,-49.564,-31.702,83.402,-51.329
19.398,62.059,-82.174,14.884,67.039,-82.71
-60.953,82.129,-20.901,-62.537,80.011,-17.152
84.745,-53.909,-30.595,82.251,-55.309,-26.698
-74.829,67.745,6.7367,-73.26,57.877,15.096
79.544,-16.414,-62.844,77.157,-18.891,-58.196
25.324,-83.297,57.947,28.596,-82.435,53.802
-70.085,-2.5366,72.554,-64.332,-1.5823,66.08
-42.131,85.152,-43.131,-47.637,85.063,-37.126
45.226,-83.972,38.461,42.972,-78.486,35.38
-77.95,9.4349,68.535,-78.677,13.182,65.332
78.211,-69.811,-8.5645,75.393,-70.957,-4.7871
-19.393,-62.5,81.996,-14.454,-67.115,81.861
85.529,-48.47,-36.591,84.229,-51.788,-32.613
11.939,66.598,-78.601,18.971,62.46,-82.007
-85.318,42.484,42.512,-83.694,45.409,37.893
-42.758,-42.519,85.191,-36.543,-48.422,85.312
71.835,4.8491,-76.708,71.413,5.0548,-76.553
16.067,-79.11,62.685,22.786,-76.678,53.288
-2.021,75.248,-73.175,-5.3709,74.858,-69.626
80.743,-24.1,-56.154,69.775,-15.381,-54.336
-78.397,67.833,10.644,-79.248,64.875,14.328
-85.232,46.47,38.478,-83.911,46.304,37.669
-3.356,74.236,-70.476,-3.6978,69.264,-65.318
14.525,-79.749,65.143,18.529,-79.796,61.447
-56.6,84.315,-27.219,-57.85,81.898,-23.877
59.37,23.622,-83.336,59.908,23.181,-83.134
-3.3871,74.267,-70.507,2.2373,67.337,-69.544
-64.519,77.773,-13,-59.364,71.017,-11.677
41.464,-85.716,43.878,37.929,-84.446,46.659
-73.048,75.107,-2.3894,-74.221,72.439,1.7719
-28.464,-54.368,83.454,-20.6,-56.554,77.5
53.106,-82.533,29.085,50.495,-71.812,21.379
42.018,42.978,-85.318,45.191,38.328,-83.88
-64.28,-16.657,80.93,-60.586,-19.875,80.829
-21.659,80.513,-58.419,-24.828,80.264,-55.219
